CustomerID,AnnualIncome,SpendingScore,Age,Gender
1,15795,47,24,Male
2,76820,99,92,Male
3,37194,1,97,Male
4,44131,96,33,Male
5,67221,21,97,Female
6,64925,93,11,Female
7,83104,1,67,Female
8,71932,98,58,Male
9,25658,10,69,Female
10,59150,54,60,Male
11,96276,27,48,Female
12,10627,85,69,Female
13,73969,1,99,Male
14,23483,63,53,Male
15,17159,54,87,Male
16,92067,95,13,Female
17,66557,1,63,Female
18,52995,100,72,Female
19,72409,16,83,Female
20,99299,65,57,Male
21,94663,32,96,Female
22,1016,100,94,Female
23,24300,3,62,Female
24,12185,81,69,Female
25,38044,34,54,Male
26,48984,62,18,Female
27,62592,1,97,Male
28,5258,90,17,Male
29,61858,15,14,Female
30,26854,79,16,Male
31,30535,30,43,Male
32,89135,83,71,Female
33,96354,25,95,Male
34,70592,91,56,Female
35,27266,20,14,Female
36,98806,69,36,Male
37,206,1,99,Female
38,23419,86,60,Male
39,50015,21,61,Male
40,87939,81,32,Male
41,56044,33,52,Male
42,33827,73,41,Male
43,75450,7,37,Female
44,64044,62,37,Female
45,69163,39,39,Female
46,21834,83,98,Male
47,23776,1,36,Female
48,6776,86,12,Male
49,58053,1,36,Male
50,3748,84,60,Female
51,66199,33,68,Female
52,61087,92,97,Male
53,54384,1,48,Female
54,89474,93,65,Male
55,26736,21,11,Female
56,854,92,10,Male
57,46717,1,62,Female
58,26309,100,77,Male
59,98506,1,47,Female
60,52083,85,79,Female
61,34698,34,82,Female
62,86202,66,89,Male
63,91906,5,68,Female
64,72082,82,76,Male
65,11411,51,80,Female
66,8680,88,49,Female
67,88614,3,10,Male
68,8155,98,59,Male
69,21918,12,51,Male
70,16646,67,99,Female
71,16371,20,10,Female
72,20932,97,41,Male
73,72694,1,28,Female
74,51407,59,29,Female
75,59040,43,84,Male
76,32711,91,47,Female
77,61267,20,98,Male
78,2200,100,27,Female
79,21357,1,75,Female
80,61135,87,42,Female
81,23328,32,30,Female
82,3987,68,16,Male
83,86416,18,57,Female
84,40818,78,31,Female
85,79909,57,60,Female
86,5895,82,36,Female
87,48404,15,37,Male
88,5600,78,70,Female
89,45714,1,44,Female
90,73744,79,39,Male
91,82989,24,46,Female
92,3420,91,69,Male
93,65726,6,41,Male
94,50336,59,27,Male
95,32745,50,63,Female
96,51885,79,41,Male
97,11093,8,75,Male
98,82074,75,99,Male
99,27751,15,18,Male
100,78069,90,51,Male
101,49689,53,59,Male
102,10647,73,69,Female
103,89912,21,54,Female
104,2368,64,25,Female
105,91083,42,24,Female
